pkt_rate, byte_rate, flow_dur, avg_pkt_size, flow_count, label

1.6313213703099512,159.8694942903752,1.226,98.0,21,0
1.6313213703099512,159.8694942903752,1.226,98.0,21,0
1.6353229762878168,160.26165167620604,1.223,98.0,21,0
0.8176614881439084,80.13082583810302,1.223,98.0,21,0
26.251025430680883,2205.0861361771945,1.219,84.0,21,0
3.2813781788351104,321.57506152584085,1.219,98.0,21,0
1.6906170752324599,165.68047337278105,1.183,98.0,21,0
0.8460236886632826,82.9103214890017,1.182,98.0,21,0
27.164685908319186,2281.8336162988116,1.178,84.0,21,0
0.8488964346349746,83.1918505942275,1.178,98.0,21,0
27.972027972027973,2349.6503496503497,1.144,84.0,21,0
0.8741258741258742,85.66433566433567,1.144,98.0,21,0
0.9910802775024778,97.12586719524282,1.009,98.0,21,0
0.9920634920634921,97.22222222222223,1.008,98.0,21,0
0.9940357852882704,97.4155069582505,1.006,98.0,21,0
1.0729613733905579,105.15021459227468,0.932,98.0,21,0
1.0741138560687433,105.26315789473684,0.931,98.0,21,0
1.0775862068965516,105.60344827586206,0.928,98.0,21,0
2.1834061135371177,213.97379912663754,0.916,98.0,21,0
6.550218340611353,641.9213973799126,0.916,98.0,21,0
5.458515283842795,534.9344978165939,0.916,98.0,21,0
1.657000828500414,162.38608119304058,1.207,98.0,30,0
21.558872305140962,1973.4660033167497,1.206,91.53846153846153,30,0
1.6625103906899417,162.92601828761428,1.203,98.0,30,0
21.630615640599004,1980.0332778702164,1.202,91.53846153846153,30,0
1.6680567139282734,163.4695579649708,1.199,98.0,30,0
21.702838063439067,1986.644407345576,1.198,91.53846153846153,30,0
6.849315068493151,671.2328767123288,1.168,98.0,30,0
1.7167381974248928,168.24034334763948,1.165,98.0,30,0
1.722652885443583,168.81998277347114,1.161,98.0,30,0
1.7621145374449338,172.68722466960352,1.135,98.0,30,0
1.7667844522968197,173.14487632508832,1.1320000000000001,98.0,30,0
1.7714791851195748,173.60496014171832,1.129,98.0,30,0
1.806684733514002,177.0551038843722,1.107,98.0,30,0
4.537205081669691,444.64609800362973,1.102,98.0,30,0
1.8198362147406735,178.343949044586,1.099,98.0,30,0
1.8570102135561746,181.98700092850513,1.077,98.0,30,0
4.655493482309124,456.2383612662942,1.074,98.0,30,0
1.8674136321195145,183.00653594771242,1.071,98.0,30,0
1.9011406844106462,186.31178707224333,1.052,98.0,30,0
1.9065776930409915,186.84461391801716,1.049,98.0,30,0
1.9120458891013383,187.38049713193115,1.046,98.0,30,0
1.9512195121951221,191.21951219512198,1.025,98.0,30,0
0.9765625,95.703125,1.024,98.0,30,0
1.9569471624266144,191.78082191780823,1.022,98.0,30,0
0.9784735812133072,95.89041095890411,1.022,98.0,30,0
0.9891196834817014,96.93372898120674,1.011,98.0,30,0
1.9980019980019983,195.8041958041958,1.001,98.0,30,0
1.0,98.0,1.0,98.0,30,0
1.0111223458038423,99.08998988877654,0.989,98.0,30,0
7.231404958677686,708.6776859504132,0.968,98.0,30,0
1.669449081803005,163.60601001669448,1.198,98.0,36,0
19.21470342522974,1883.0409356725145,1.197,98.0,36,0
1.6750418760469012,164.15410385259634,1.194,98.0,36,0
19.279128248114,1889.3545683151717,1.193,98.0,36,0
1.680672268907563,164.7058823529412,1.19,98.0,36,0
19.343986543313708,1895.7106812447435,1.189,98.0,36,0
1.722652885443583,168.81998277347114,1.161,98.0,36,0
1.7271157167530227,169.25734024179621,1.158,98.0,36,0
1.733102253032929,169.84402079722705,1.154,98.0,36,0
7.092198581560283,695.0354609929077,1.1280000000000001,98.0,36,0
1.7777777777777777,174.22222222222223,1.125,98.0,36,0
1.784121320249777,174.84388938447813,1.121,98.0,36,0
1.8198362147406735,178.343949044586,1.099,98.0,36,0
1.8264840182648403,178.99543378995435,1.095,98.0,36,0
1.8331805682859763,179.65169569202567,1.091,98.0,36,0
1.8674136321195145,183.00653594771242,1.071,98.0,36,0
4.686035613870666,459.23149015932523,1.067,98.0,36,0
1.8796992481203008,184.21052631578945,1.064,98.0,36,0
1.9120458891013383,187.38049713193115,1.046,98.0,36,0
4.798464491362764,470.24952015355086,1.042,98.0,36,0
1.9249278152069298,188.64292589027912,1.039,98.0,36,0
1.9569471624266144,191.78082191780823,1.022,98.0,36,0
1.9646365422396856,192.5343811394892,1.018,98.0,36,0
1.9704433497536948,193.1034482758621,1.015,98.0,36,0
2.0,196.0,1.0,98.0,36,0
2.0080321285140563,196.7871485943775,0.996,98.0,36,0
2.014098690835851,197.3816717019134,0.993,98.0,36,0
2.044989775051125,200.40899795501022,0.978,98.0,36,0
2.053388090349076,201.23203285420945,0.974,98.0,36,0
8.2389289392379,807.4150360453141,0.971,98.0,36,0
2.092050209205021,205.02092050209205,0.956,98.0,36,0
1.0460251046025104,102.51046025104603,0.956,98.0,36,0
2.0986358866736623,205.6663168940189,0.953,98.0,36,0
1.050420168067227,102.94117647058825,0.952,98.0,36,0
2.134471718249733,209.17822838847383,0.937,98.0,36,0
1.0672358591248665,104.58911419423691,0.937,98.0,36,0
4.088307440719542,400.6541291905151,1.223,98.0,26,0
23.751023751023748,2052.4160524160525,1.221,86.41379310344827,26,0
1.6420361247947455,160.91954022988506,1.218,98.0,26,0
23.8290879211175,2059.161873459326,1.217,86.41379310344827,26,0
4.118616144975288,403.62438220757826,1.214,98.0,26,0
23.907666941467436,2065.952184666117,1.213,86.41379310344827,26,0
1.6920473773265652,165.8206429780034,1.182,98.0,26,0
1.697792869269949,166.383701188455,1.178,98.0,26,0
1.702127659574468,166.80851063829786,1.175,98.0,26,0
1.7421602787456447,170.7317073170732,1.148,98.0,26,0
1.7482517482517483,171.32867132867133,1.144,98.0,26,0
1.7528483786152498,171.77914110429447,1.141,98.0,26,0
1.7921146953405016,175.62724014336916,1.116,98.0,26,0
0.8968609865470852,87.89237668161435,1.115,98.0,26,0
1.7969451931716083,176.1006289308176,1.113,98.0,26,0
0.8992805755395683,88.12949640287769,1.112,98.0,26,0
3.6199095022624435,354.75113122171945,1.105,98.0,26,0
1.8467220683287167,180.97876269621423,1.083,98.0,26,0
0.9233610341643583,90.48938134810712,1.083,98.0,26,0
3.717472118959108,364.31226765799255,1.076,98.0,26,0
0.9514747859181732,93.24452901998097,1.051,98.0,26,0
0.9624639076034649,94.32146294513956,1.039,98.0,26,0
1.075268817204301,105.3763440860215,0.93,98.0,26,0
1.0764262648008611,105.48977395048439,0.929,98.0,26,0
2.1739130434782608,213.04347826086956,0.92,98.0,26,0
3.2644178454842216,319.9129488574537,0.919,98.0,26,0
11.456628477905074,1031.0965630114567,1.222,90.0,33,0
6.552006552006551,642.0966420966421,1.221,98.0,33,0
9.105960264900663,892.384105960265,1.208,98.0,33,0
6.639004149377593,557.6763485477178,1.205,84.0,33,0
4.152823920265781,406.9767441860465,1.204,98.0,33,0
6.683375104427736,561.4035087719298,1.197,84.0,33,0
9.19732441471572,901.3377926421405,1.196,98.0,33,0
6.7739204064352245,569.0093141405588,1.181,84.0,33,0
12.006861063464838,1080.6174957118353,1.166,90.0,33,0
6.920415224913495,581.3148788927336,1.156,84.0,33,0
4.325259515570934,423.87543252595157,1.156,98.0,33,0
6.9747166521360064,585.8761987794246,1.147,84.0,33,0
7.04225352112676,591.5492957746478,1.1360000000000001,84.0,33,0
12.433392539964478,1119.0053285968029,1.126,90.0,33,0
9.927797833935017,871.841155234657,1.108,87.81818181818181,33,0
4.512635379061371,442.2382671480144,1.108,98.0,33,0
9.972801450589301,977.3345421577516,1.103,98.0,33,0
4.55788514129444,446.67274384685504,1.097,98.0,33,0
7.312614259597805,614.2595978062157,1.094,84.0,33,0
10.064043915827996,986.2763037511437,1.093,98.0,33,0
10.194624652455978,895.2734012974977,1.079,87.81818181818181,33,0
10.28999064546305,903.6482694106642,1.069,87.81818181818181,33,0
7.597340930674265,638.1766381766382,1.053,84.0,33,0
10.526315789473685,924.4019138755981,1.045,87.81818181818181,33,0
3.857280617164899,378.0135004821601,1.037,98.0,33,0
4.901960784313726,480.3921568627451,1.02,98.0,33,0
7.866273352999017,660.7669616519174,1.017,84.0,33,0
4.921259842519685,482.2834645669291,1.016,98.0,33,0
10.848126232741617,1063.1163708086785,1.014,98.0,33,0
8.008008008008009,672.6726726726727,0.999,84.0,33,0
14.314928425357873,1288.3435582822085,0.978,90.0,33,0
3.215434083601286,315.112540192926,0.933,98.0,33,0
3.2644178454842216,319.9129488574537,0.919,98.0,33,0
0.47528517110266155,46.57794676806083,4.208,98.0,30,0
12.835749940575232,1217.9700499168055,4.207,94.88888888888889,30,0
0.4757373929590866,46.62226450999049,4.204,98.0,30,0
12.84796573875803,1219.129193433262,4.203,94.88888888888889,30,0
0.47619047619047616,46.666666666666664,4.2,98.0,30,0
12.860204810669208,1220.2905453679448,4.199,94.88888888888889,30,0
8.635164307987528,846.2461021827777,4.169,98.0,30,0
0.48007681228996635,47.0475276044167,4.166,98.0,30,0
0.48053820278712156,47.09274387313791,4.162,98.0,30,0
0.48355899419729204,47.38878143133462,4.136,98.0,30,0
0.4839099927413501,47.423179288652314,4.133,98.0,30,0
0.48426150121065376,47.45762711864407,4.13,98.0,30,0
0.4868549172346641,47.71178188899708,4.108,98.0,30,0
4.6307579819644165,453.8142822325128,4.103,98.0,30,0
0.48780487804878053,47.804878048780495,4.1,98.0,30,0
0.49043648847474247,48.06277587052476,4.078,98.0,30,0
4.662576687116564,456.9325153374233,4.075,98.0,30,0
0.4911591355599214,48.1335952848723,4.072,98.0,30,0
0.4934616333580064,48.35924006908463,4.053,98.0,30,0
0.4938271604938272,48.39506172839506,4.05,98.0,30,0
0.4941932295527552,48.430936496170006,4.047,98.0,30,0
0.49677098857426727,48.683556880278196,4.026,98.0,30,0
0.24844720496894407,24.34782608695652,4.025,98.0,30,0
0.4971414367387522,48.71986080039772,4.023,98.0,30,0
0.2485707183693761,24.35993040019886,4.023,98.0,30,0
0.24925224327018947,24.426719840478565,4.012,98.0,30,0
0.49975012493753124,48.975512243878065,4.002,98.0,30,0
0.2499375156210947,24.493876530867283,4.001,98.0,30,0
0.2506265664160401,24.561403508771928,3.99,98.0,30,0
8.818342151675486,864.1975308641976,3.969,98.0,30,0
